episode,crop,season_return,avg100_return,actor_loss,critic_loss,entropy,total_water_mm,total_nitrogen_kgha,vs_baseline_pct
278,maize,-50.4386,-98.1178,0.04372,21.923267,0.007978,1885.0,210.0,35.78
279,cotton,-133.567,-98.1089,0.787624,31.204586,0.30023,2735.0,210.0,35.79
280,cotton,-130.5577,-98.4846,-0.620005,55.401184,0.259305,2695.0,210.0,35.54
281,cotton,-137.8732,-98.9645,-0.664083,34.161686,0.282917,2815.0,210.0,35.23
282,cotton,-138.444,-98.9897,0.391529,89.574158,0.284568,2820.0,210.0,35.21
283,cotton,-134.2599,-99.4288,-0.565624,21.790928,0.261069,2755.0,210.0,34.92
284,cotton,-140.3161,-99.4866,0.224213,18.116245,0.256788,2865.0,210.0,34.88
285,cotton,-133.6953,-99.9352,0.413254,20.972584,0.302695,2735.0,210.0,34.59
286,maize,-47.2877,-99.5031,-0.000404,20.477381,0.021847,1815.0,210.0,34.87
287,cotton,-129.6314,-99.4379,-0.397725,29.548868,0.274548,2665.0,210.0,34.92
288,cotton,-138.0322,-99.4838,-0.219424,26.603489,0.297086,2815.0,210.0,34.89
289,cotton,-133.0609,-99.4602,-0.177541,33.808823,0.280601,2725.0,210.0,34.9
290,maize,-47.7685,-98.5745,-0.061617,15.497934,0.025795,1815.0,210.0,35.48
291,cotton,-132.2139,-98.9992,0.192706,16.825026,0.305149,2715.0,210.0,35.2
292,cotton,-136.7376,-99.5127,-0.814867,29.023315,0.307988,2795.0,210.0,34.87
293,cotton,-134.8497,-99.5193,-0.903893,29.649109,0.293279,2765.0,210.0,34.86
294,cotton,-134.3065,-99.9856,1.189045,57.898731,0.29632,2745.0,210.0,34.56
295,maize,-50.4247,-99.5862,-0.000236,4.918258,0.018214,1925.0,210.0,34.82
296,maize,-52.5711,-98.7616,-0.001911,3.414225,0.020982,1895.0,210.0,35.36
297,cotton,-135.1799,-98.7899,0.543845,22.321522,0.287498,2775.0,210.0,35.34
