episode,crop,dap,xlai,topwt,water_mm,nitrogen_kg
1500,maize,63,2.462,2556.9,10,0.0
1500,maize,64,2.5328,2748.73,10,0.0
1500,maize,65,2.5954,2950.5,10,0.0
1500,maize,66,2.6354,3136.28,10,0.0
1500,maize,67,2.6482,3290.41,10,0.0
1500,maize,68,2.6892,3493.17,10,0.0
1500,maize,69,2.6977,3674.83,10,0.0
1500,maize,70,2.6883,3847.75,10,0.0
1500,maize,71,2.665,4006.41,10,0.0
1500,maize,72,2.6313,4150.25,10,0.0
1500,maize,73,2.5892,4278.23,10,0.0
1500,maize,74,2.542,4395.28,10,0.0
1500,maize,75,2.4891,4493.79,10,0.0
1500,maize,76,2.4382,4598.98,10,0.0
1500,maize,77,2.3872,4701.63,10,0.0
1500,maize,78,2.3377,4810.21,10,0.0
1500,maize,79,2.2903,4923.31,10,0.0
1500,maize,80,2.2449,5038.6,10,0.0
1500,maize,81,2.2698,5301.83,10,0.0
1500,maize,82,2.3017,5533.87,10,0.0
1500,maize,83,2.3373,5767.79,10,0.0
1500,maize,84,2.3152,5995.78,10,0.0
1500,maize,85,2.2928,6210.68,10,0.0
1500,maize,86,2.2702,6419.9,10,0.0
1500,maize,87,2.2478,6673.81,10,0.0
1500,maize,88,2.2262,6889.16,10,0.0
1500,maize,89,2.2053,7142.6,10,0.0
1500,maize,90,2.1858,7402.08,10,0.0
1500,maize,91,2.168,7644.66,0,0.0
1500,maize,92,2.1517,7896.5,0,0.0
1500,maize,93,2.137,8138.11,0,0.0
1500,maize,94,2.1243,8380.49,0,0.0
1500,maize,95,2.1074,8622.86,0,0.0
1500,maize,96,2.0881,8865.24,0,0.0
1500,maize,97,2.066,9107.62,0,0.0
1500,maize,98,2.0413,9350.0,0,0.0
1500,maize,99,2.0138,9589.8,0,0.0
1500,maize,100,1.9835,9803.51,0,0.0
1500,maize,101,1.9341,9956.05,0,0.0
1500,maize,102,1.8847,10075.38,0,0.0
