episode,crop,season_return,avg100_return,actor_loss,critic_loss,total_water_mm,total_nitrogen_kgha,vs_baseline_pct,grain_yield_kgha,profit_usd_ha,avg100_profit_usd_ha
211,maize,-461.6859,-428.9205,,,3440.0,0.0,-65.24,6409.3,-461.69,-428.92
212,maize,-693.3062,-432.4421,,,3420.0,0.0,-97.98,5434.8,-693.31,-432.44
213,maize,-578.9059,-432.7371,,,3400.0,0.0,-81.81,5844.4,-578.91,-432.74
214,maize,-545.0827,-432.3498,,,3320.0,0.0,-77.03,5787.7,-545.08,-432.35
215,maize,-714.4222,-435.6233,,,3490.0,0.0,-100.96,5518.3,-714.42,-435.62
216,maize,-384.9301,-436.5573,,,3420.0,0.0,-54.4,6668.3,-384.93,-436.56
217,maize,-376.1369,-436.8437,,,3430.0,0.0,-53.16,6727.5,-376.14,-436.84
218,maize,-454.6955,-437.8248,,,3220.0,0.0,-64.26,5909.2,-454.7,-437.82
219,maize,-81.4904,-432.6526,,,2890.0,0.0,-11.52,6610.0,-81.49,-432.65
220,maize,-324.9506,-432.4077,,,3020.0,0.0,-45.92,5948.2,-324.95,-432.41
221,maize,-652.3534,-434.2033,,,3390.0,0.0,-92.19,5526.6,-652.35,-434.2
222,maize,-205.705,-433.3061,,,3000.0,0.0,-29.07,6377.2,-205.7,-433.31
223,maize,-272.9024,-431.9839,,,3200.0,0.0,-38.57,6588.4,-272.9,-431.98
224,maize,-273.6375,-428.9233,,,2860.0,0.0,-38.67,5769.5,-273.64,-428.92
225,maize,-226.2862,-425.2626,,,3140.0,0.0,-31.98,6630.9,-226.29,-425.26
226,maize,-608.9037,-426.6645,,,3370.0,0.0,-86.05,5652.4,-608.9,-426.66
227,maize,-509.6061,-428.7159,,,3430.0,0.0,-72.02,6193.6,-509.61,-428.72
228,maize,-205.1362,-424.9553,,,2980.0,0.0,-28.99,6331.5,-205.14,-424.96
229,maize,-621.0894,-425.3745,,,3380.0,0.0,-87.77,5627.6,-621.09,-425.37
230,maize,-353.5875,-423.5143,,,3320.0,0.0,-49.97,6553.6,-353.59,-423.51
231,maize,-565.6317,-424.1093,,,3250.0,0.0,-79.93,5537.5,-565.63,-424.11
232,maize,-412.1333,-424.7132,,,3180.0,0.0,-58.24,5983.5,-412.13,-424.71
233,maize,-398.1349,-425.9965,,,3280.0,0.0,-56.26,6279.5,-398.13,-426.0
234,maize,-561.939,-427.8886,,,3390.0,0.0,-79.41,5888.2,-561.94,-427.89
235,maize,-604.3253,-430.1828,,,3220.0,0.0,-85.4,5310.7,-604.33,-430.18
236,maize,-674.0568,-432.54,,,3540.0,0.0,-95.26,5799.8,-674.06,-432.54
237,maize,-392.1875,-430.8768,,,3180.0,0.0,-55.42,6063.3,-392.19,-430.88
238,maize,-640.9394,-429.6681,,,3470.0,0.0,-90.58,5764.2,-640.94,-429.67
239,maize,-213.5166,-426.0588,,,2790.0,0.0,-30.17,5841.9,-213.52,-426.06
240,maize,-250.8722,-422.5969,,,2980.0,0.0,-35.45,6148.5,-250.87,-422.6
241,maize,-149.0622,-419.4288,,,2950.0,0.0,-21.07,6483.8,-149.06,-419.43
